ИД,Город,Население,Площадь,Есть аэропорт
178,Кизляр,49169,30.000000,false
179,Махачкала,577990,468.130000,true
180,Хасавюрт,133929,40.000000,false
181,Южно-Сухокумск,10048,82.000000,false
182,Биробиджан,75419,169.380000,false
183,Облучье,9379,28.000000,false
184,Балей,12536,49.000000,false
185,Борзя,31376,184.000000,false
186,Краснокаменск,55668,73.000000,true
187,Могоча,13228,20.000000,false
188,Нерчинск,14976,100.000000,false
189,Петровск-Забайкальский,18555,19.000000,false
190,Сретенск,6850,36.000000,false
191,Хилок,11530,13.000000,false
192,Чита,323964,534.000000,true
193,Шилка,13947,105.000000,false
194,Вичуга,37609,31.000000,false
195,Гаврилов Посад,6434,9.000000,false
196,Заволжск,12045,8.000000,false
197,Иваново,409277,104.840000,true
198,Кинешма,88113,50.000000,false
199,Комсомольск,8693,325.000000,false
200,Кохма,29408,12.600000,false
201,Наволоки,10207,95.000000,false
202,Плес,2341,3.000000,false
203,Приволжск,16749,16.000000,false
204,Пучеж,8583,6.000000,false
205,Родники,26318,17.000000,false
206,Тейково,34993,26.800000,false
207,Фурманов,36149,15.600000,false
208,Шуя,58528,33.000000,false
209,Южа,14170,13.000000,false
210,Юрьевец,10205,8.000000,false
211,Карабулак,31081,83.600000,false
212,Магас,2505,12.630000,false
213,Малгобек,31076,17.000000,false
214,Назрань,93357,80.000000,false
215,Алзамай,6751,48.000000,false
216,Ангарск,233765,294.000000,false
217,Байкальск,13589,819.250000,false
218,Бирюсинск,8981,23.000000,false
219,Бодайбо,15331,11.000000,false
220,Братск,246348,428.000000,true
221,Вихоревка,22528,85.000000,false
222,Железногорск-Илимский,26134,102.000000,false
223,Зима,32522,52.900000,false
224,Иркутск,587225,277.000000,true
225,Киренск,12652,21.000000,false
226,Нижнеудинск,37056,75.000000,false
227,Саянск,40786,83.000000,false
228,Свирск,13649,38.620000,false
229,Слюдянка,18542,38.000000,false
230,Тайшет,35481,75.720000,false
231,Тулун,44603,134.000000,false
232,Усолье-Сибирское,83364,74.000000,false
233,Усть-Илимск,86591,229.000000,false
234,Усть-Кут,45061,56.000000,true
235,Черемхово,52650,25.000000,false
236,Шелехов,47960,31.000000,false
237,Баксан,36857,27.800000,false
238,Майский,26755,138.000000,false
239,Нальчик,240095,67.000000,true
240,Нарткала,31679,9.450000,false
241,Прохладный,59595,35.080000,false
242,Терек,19170,12.000000,false
243,Тырныауз,21000,61.800000,false
244,Чегем,17988,73.000000,false
245,Багратионовск,6399,10.700000,false
246,Балтийск,32670,49.000000,false
247,Гвардейск,13888,12.000000,false
248,Гурьевск,12433,90.000000,false
249,Гусев,28260,16.300000,false
250,Зеленоградск,13015,17.000000,false
251,Калининград,431491,224.700000,true
252,Краснознаменск,3522,6.090000,false
253,Ладушкин,3788,28.200000,false
254,Мамоново,7757,20.850000,false
255,Неман,11794,14.000000,false
256,Нестеров,4584,8.000000,false
257,Озерск,4740,12.000000,false
258,Пионерский,11017,8.300000,false
259,Полесск,7580,11.000000,false
260,Правдинск,4323,10.000000,false
261,Приморск,1956,696.625000,false
262,Светлогорск,10775,21.000000,false
263,Светлый,21380,26.000000,false
264,Славск,4614,11.000000,false
265,Советск,41709,44.400000,false
266,Черняховск,40464,58.000000,false
267,Городовиковск,9565,175.000000,false
268,Лагань,14323,91.380000,false
269,Элиста,103728,208.000000,true
270,Балабаново,26337,9.940000,false
271,Белоусово,8432,2.300000,false
272,Боровск,12283,10.440000,false
273,Ермолино,10409,7.240000,false
274,Жиздра,5585,17.900000,false
275,Жуков,12150,20.000000,false
276,Калуга,325185,168.800000,false
277,Киров,31888,169.730000,true
278,Козельск,18203,10.000000,false
279,Кондрово,16672,19.000000,false
280,Кременки,11617,2.200000,false
281,Людиново,40550,43.420000,false
282,Малоярославец,30401,18.000000,false
283,Медынь,8298,16.000000,false
284,Мещовск,4101,39.000000,false
285,Мосальск,4285,7.930000,false
286,Обнинск,104798,42.970000,false
287,Сосенский,12394,4.120000,false
288,Спас-Деменск,4904,211.000000,false
289,Сухиничи,16295,12.000000,false
290,Таруса,9656,12.000000,false
291,Юхнов,7056,5.000000,false
292,Вилючинск,22905,404.000000,false
293,Елизово,39548,70.000000,false
294,Петропавловск-Камчатский,179526,362.140000,true
295,Карачаевск,23848,11.840000,false
296,Теберда,9097,8.570000,false
297,Усть-Джегута,30602,32.000000,false
298,Черкесск,121439,69.800000,false
299,Беломорск,11217,13.000000,false
300,Кемь,13061,21.000000,false
301,Кондопога,32978,11.000000,false
302,Костомукша,28433,15.000000,true
303,Лахденпохья,7818,9.000000,false
304,Медвежьегорск,15536,14.000000,false
305,Олонец,9060,6.000000,false
306,Петрозаводск,263540,135.000000,true
307,Питкяранта,11484,2254.000000,false
308,Пудож,9698,8.000000,false
309,Сегежа,29660,19.000000,false
310,Сортавала,19215,15.000000,false
311,Суоярви,9763,9.000000,false
312,Анжеро-Судженск,76669,119.000000,false
313,Белово,76752,171.000000,false
314,Березовский,47292,1125.000000,false
315,Гурьевск,24816,90.000000,false
316,Калтан,21893,32.400000,false
317,Кемерово,532884,282.000000,true
318,Киселевск,98382,160.000000,false
319,Ленинск-Кузнецкий,101666,112.700000,false
320,Мариинск,40522,57.200000,false
321,Междуреченск,101995,48.000000,false
322,Мыски,43029,108.700000,false
323,Новокузнецк,547885,424.270000,true
324,Осинники,45997,81.000000,false
325,Полысаево,27624,49.295000,false
326,Прокопьевск,210150,227.500000,false
327,Салаир,8263,39.800000,false
328,Тайга,25330,553.000000,false
329,Таштагол,23114,79.000000,false
330,Топки,28642,51.700000,false
331,Юрга,81536,45.000000,false
332,Белая Холуница,11232,12.000000,false
333,Вятские Поляны,35159,28.340000,false
334,Зуевка,11198,40.000000,false
335,Киров,473668,169.730000,true
336,Кирово-Чепецк,80920,52.000000,false
337,Кирс,10420,1347.000000,false
338,Котельнич,24979,32.000000,false
339,Луза,11262,303.000000,false
340,Малмыж,8265,2196.380000,false
341,Мураши,6752,665.000000,false
342,Нолинск,9556,6.300000,false
343,Омутнинск,23618,50.000000,false
344,Орлов,6959,4.000000,false
345,Слободской,33983,44.000000,false
346,Советск,16592,44.400000,false
347,Сосновка,11960,120.800000,false
348,Уржум,10213,10.000000,false
349,Яранск,17252,18.000000,false
350,Воркута,70551,29.800000,true
351,Вуктыл,12357,22.453000,true
352,Емва,14574,61.300000,false
353,Инта,32021,350.000000,true
354,Микунь,10732,13.900000,false
355,Печора,43458,28.900000,true
356,Сосногорск,27809,24.900000,false
357,Сыктывкар,235006,152.000000,true
358,Усинск,41100,152.000000,true
359,Ухта,99642,0.000000,true
360,Буй,25763,21.200000,false
361,Волгореченск,17108,17.830000,false
362,Галич,17346,16.500000,false
363,Кологрив,3314,6.000000,false
364,Кострома,268617,144.500000,true
365,Макарьев,7114,30.000000,false
366,Мантурово,17479,16.000000,false
367,Нерехта,22817,17.200000,false
368,Нея,9827,82.403000,false
369,Солигалич,6438,8.000000,false
370,Чухлома,5209,7.000000,false
371,Шарья,23668,26.000000,false
372,Абинск,34926,22.000000,false
373,Анапа,58983,40.000000,true
374,Апшеронск,40229,28.000000,false
375,Армавир,188897,280.000000,false
376,Белореченск,53891,56.000000,false
377,Геленджик,54813,123.000000,true
378,Горячий Ключ,30093,18.000000,false
379,Гулькевичи,35225,21.000000,false
380,Ейск,87771,140.000000,false
381,Кореновск,41179,247.000000,false
382,Краснодар,744933,339.310000,true
383,Кропоткин,80743,83.500000,false
384,Крымск,57370,47.040000,false
385,Курганинск,47974,30.000000,false
386,Лабинск,62822,46.000000,false
387,Новокубанск,34847,27.970000,false
388,Новороссийск,241788,81.100000,false
389,Приморско-Ахтарск,32253,18.000000,false
390,Славянск-на-Кубани,63768,43.500000,false
391,Сочи,343285,176.770000,true
392,Темрюк,38014,20.100000,false
393,Тимашевск,53921,40.000000,false
394,Тихорецк,61825,46.020000,false
395,Туапсе,63233,33.410000,false
396,Усть-Лабинск,43268,32.000000,false
397,Хадыженск,21580,17.000000,false
398,Артемовск,2180,16.000000,false
399,Ачинск,109156,103.000000,true
400,Боготол,21029,60.910000,false
401,Бородино,17423,35.200000,false
402,Дивногорск,28271,56.600000,false
403,Дудинка,22207,105.000000,false
404,Енисейск,18769,15.000000,true
405,Железногорск,85559,100.000000,false
406,Заозерный,10683,11.000000,false
407,Зеленогорск,66018,162.000000,false
408,Игарка,6183,20.000000,true
409,Иланский,16108,52.000000,false
410,Канск,94230,96.300000,false
411,Кодинск,14835,7.000000,false
412,Красноярск,973826,348.000000,true
413,Лесосибирск,61146,277.000000,false
414,Минусинск,71171,62.000000,false
415,Назарово,52829,47.000000,false
416,Норильск,175301,23.160000,true
417,Сосновоборск,33090,26.600000,false
418,Ужур,16079,38.900000,false
419,Уяр,12666,27.700000,false
420,Шарыпово,38570,30.000000,false
421,Ялта,8497,283.000000,false
422,Алушта,28642,6.983000,false
423,Армянск,22468,16.200000,false
424,Бахчисарай,26363,55.000000,false
425,Белогорск,18199,117.600000,false
426,Джанкой,35700,26.000000,false
427,Евпатория,106840,65.000000,false
428,Керчь,144600,108.000000,false
429,Красноперекопск,29564,22.000000,false
430,Саки,23400,29.000000,false
431,Симферополь,362366,107.000000,false
432,Старый Крым,9485,9.970000,false
433,Судак,15368,15.000000,false
434,Феодосия,69786,35.200000,false
435,Щелкино,11194,3.420000,false
436,Ялта,78040,283.000000,false
437,Далматово,13913,170.000000,false
438,Катайск,14017,145.000000,false
439,Курган,333640,393.000000,true
440,Куртамыш,17098,97.000000,false
441,Макушино,8337,68.000000,false
442,Петухово,11291,41.000000,false
443,Шадринск,77744,174.000000,false
444,Шумиха,17821,28.200000,false
445,Щучье,10971,35.000000,false
446,Дмитриев,7721,7.940000,false
447,Железногорск,95057,112.000000,false
448,Курск,414595,190.750000,true
449,Курчатов,42691,56.500000,false
450,Льгов,21452,38.000000,false
451,Обоянь,13562,11.000000,false
452,Рыльск,15667,17.000000,false
453,Суджа,6036,4.000000,false
454,Фатеж,5404,5.000000,false
455,Щигры,17043,21.000000,false
456,Бокситогорск,16593,13.000000,false
457,Волосово,12162,8.000000,false
458,Волхов,47344,108.000000,false
459,Всеволожск,59689,62.260000,false
460,Выборг,80013,160.847000,false
461,Высоцк,1244,39.810000,false
462,Гатчина,92566,28.750000,false
463,Ивангород,9797,7.700000,false
464,Каменногорск,6761,11.500000,false
465,Кингисепп,48667,29.000000,false
466,Кириши,52826,32.000000,false
467,Кировск,25633,84.900000,false
468,Коммунар,20265,12.700000,false
469,Лодейное Поле,21053,74.009000,false
470,Луга,36409,13.000000,false
471,Любань,4188,7.000000,false
472,Никольское,19345,10.000000,true
473,Новая Ладога,8890,143.000000,false
474,Отрадное,23874,70.100000,false
475,Пикалево,21567,38.000000,false
476,Подпорожье,18729,30.000000,false
477,Приморск,6122,696.630000,false
478,Приозерск,18929,16.500000,false
479,Светогорск,15973,50.000000,false
480,Сертолово,47854,27.490000,false
481,Сланцы,33587,36.000000,false
482,Сосновый Бор,65901,88.400000,false
483,Сясьстрой,13747,12.200000,false
484,Тихвин,58843,24.000000,false
485,Тосно,39127,512.000000,false
486,Шлиссельбург,13305,16.000000,false
487,Грязи,46798,30.000000,false
488,Данков,21056,21.000000,false
489,Елец,108404,70.670000,false
490,Задонск,9695,12.580000,false
491,Лебедянь,20991,18.000000,false
492,Липецк,508124,330.150000,true
493,Усмань,18752,12.700000,false
494,Чаплыгин,12656,11.000000,false
495,Магадан,95925,295.000000,true
496,Сусуман,5865,28.000000,false
497,Волжск,55671,39.470000,false
498,Звенигово,11945,4.970000,false
499,Йошкар-Ола,248688,100.390000,true
500,Козьмодемьянск,21262,13.410000,false
501,Ардатов,9400,33.500000,false
502,Инсар,8687,52.200000,false
503,Ковылкино,21307,40.600000,false
504,Краснослободск,10151,10.500000,false
505,Рузаевка,47529,26.600000,false
506,Саранск,297425,81.478000,true
507,Темников,7247,19.500000,false
508,Москва,11514330,2562.000000,true
509,Апрелевка,18467,99.000000,false
510,Балашиха,215353,97.800000,false
511,Бронницы,21102,22.000000,false
512,Верея,5368,5.000000,false
513,Видное,56798,16.100000,false
514,Волоколамск,23386,10.000000,false
515,Воскресенск,91301,24.500000,false
516,Высоковск,10642,4.000000,false
517,Голицыно,17447,20.000000,false
518,Дедовск,29280,7.000000,false
519,Дзержинский,47125,15.700000,false
520,Дмитров,61454,26.000000,false
521,Долгопрудный,90976,30.700000,false
522,Домодедово,96123,159.000000,false
523,Дрезна,11815,2.000000,false
524,Дубна,70569,7.100000,false
525,Егорьевск,70133,29.000000,false
526,Жуковский,102729,47.300000,false
527,Зарайск,24648,20.500000,false
528,Звенигород,16395,47.000000,false
529,Ивантеевка,58594,15.000000,false
530,Истра,35106,7.000000,false
531,Кашира,41880,16.000000,false
532,Клин,80584,42.000000,false
533,Коломна,144642,65.100000,false
534,Королев,183452,35.600000,false
535,Котельники,32347,14.240000,false
536,Красноармейск,26294,156.000000,false
537,Красногорск,116738,66.000000,false
538,Краснозаводск,13432,40.400000,false
539,Краснознаменск,36057,6.090000,false
540,Кубинка,22918,4.000000,false
541,Куровское,21821,9.000000,false
542,Ликино-Дулево,31331,14.000000,false
543,Лобня,74350,29.500000,false
544,Лосино-Петровский,22550,9.060000,false
545,Луховицы,29849,41.000000,false
546,Лыткарино,55147,17.000000,false
547,Люберцы,171978,44.000000,false
548,Можайск,31388,15.000000,false
549,Мытищи,173341,34.590000,false
550,Наро-Фоминск,64640,22.000000,false
551,Ногинск,99762,52.090000,false
552,Одинцово,139021,7.750000,false
553,Озеры,25788,12.000000,false
554,Орехово-Зуево,120620,36.000000,false
555,Павловский Посад,63771,39.000000,false
556,Пересвет,14142,19.000000,false
557,Подольск,187956,40.390000,false
558,Протвино,37308,26.000000,false
559,Пушкино,102840,60.330000,false
560,Пущино,20263,1823.000000,false
561,Раменское,96355,59.460000,false
562,Реутов,87195,9.000000,false
563,Рошаль,21265,35.000000,false
564,Руза,13495,17.380000,false
565,Сергиев Посад,110878,50.000000,false
566,Серпухов,126496,32.000000,false
567,Солнечногорск,52996,21.000000,false
568,Старая Купавна,21859,10.620000,false
569,Ступино,66942,35.500000,false
570,Талдом,13819,46.200000,false
571,Фрязино,55449,9.000000,false
572,Химки,207125,109.790000,false
573,Хотьково,21612,11.000000,false
574,Черноголовка,20986,2.023000,false
575,Чехов,60677,23.400000,false
576,Шатура,32836,36.000000,false
577,Щелково,110380,28.000000,false
578,Электрогорск,22120,39.000000,false
579,Электросталь,155324,51.450000,false
580,Электроугли,20120,4.500000,false
581,Яхрома,13248,14.000000,false
582,Апатиты,59690,37.500000,true
583,Гаджиево,11089,135.000000,false
584,Заозерск,11206,118.000000,false
585,Заполярный,15835,0.000000,false
586,Кандалакша,35659,0.000000,false
587,Кировск,28659,84.900000,false
588,Ковдор,18836,8.000000,false
589,Кола,10447,10.000000,false
590,Мончегорск,45381,0.000000,false
591,Мурманск,307664,154.400000,true
592,Оленегорск,23079,1870.000000,false
593,Островной,2177,76.000000,false
594,Полярные Зори,15106,940.000000,false
595,Полярный,17304,358.050000,false
596,Североморск,50076,60.000000,false
597,Снежногорск,12698,23.100000,false
598,Нарьян-Мар,21296,24.000000,true
599,Арзамас,106367,42.000000,false
