Город,Население,Площадь,Есть аэропорт
Туринск,17990,28.000000,false
Инкерман,11526,2.000000,false
Севастополь,344479,863.600000,false
Алагир,20949,23.000000,false
Ардон,18774,29.100000,false
Беслан,36724,24.000000,false
Владикавказ,311635,291.000000,false
Дигора,10856,9.190000,false
Моздок,38748,17.000000,false
Велиж,7620,32.000000,false
Вязьма,57103,44.000000,false
Гагарин,31721,14.460000,false
Демидов,7333,33.000000,false
Десногорск,29677,42.900000,false
Дорогобуж,10720,10.000000,false
Духовщина,4370,11.000000,false
Ельня,10095,15.000000,false
Починок,8776,7.000000,false
Рославль,54898,43.000000,false
Рудня,10029,17.000000,false
Сафоново,46116,29.600000,false
Смоленск,326863,166.350000,false
Сычевка,8111,8.000000,false
Ярцево,47853,32.000000,false
Благодарный,32736,24.000000,false
Буденновск,64628,62.100000,false
Георгиевск,72126,25.000000,false
Ессентуки,100969,50.000000,false
Железноводск,24496,44.000000,false
Зеленокумск,35790,24.000000,false
Изобильный,40546,28.000000,false
Ипатово,26055,16.000000,false
Кисловодск,128502,72.000000,false
Лермонтов,22540,31.000000,false
Минеральные Воды,76715,49.000000,false
Михайловск,71018,21.000000,false
Невинномысск,118351,80.000000,false
Нефтекумск,27700,20.000000,false
Новоалександровск,26759,21.000000,false
Новопавловск,26556,19.000000,false
Пятигорск,142397,97.000000,false
Светлоград,38520,41.000000,false
Ставрополь,398266,277.000000,false
Жердевка,15211,17.000000,false
Кирсанов,17240,10.900000,false
Котовск,31851,17.300000,false
Мичуринск,98758,78.000000,false
Моршанск,41550,18.520000,false
Рассказово,45484,36.120000,false
Тамбов,280457,90.890000,false
Уварово,26829,23.000000,false
Агрыз,19299,8.600000,false
Азнакаево,34859,15.000000,false
Альметьевск,146309,114.980000,false
Арск,18114,29.000000,false
Бавлы,22109,18.500000,false
Болгар,8650,116.000000,false
Бугульма,89144,27.870000,false
Буинск,20342,7.000000,false
Елабуга,70750,41.000000,false
Заинск,41798,59.000000,false
Зеленодольск,97651,38.000000,false
Иннополис,3955,2.200000,false
Казань,1216965,425.300000,false
Лаишево,7735,0.000000,false
Лениногорск,64145,31.000000,false
Мамадыш,14432,15.000000,false
Менделеевск,22075,30.650000,false
Мензелинск,16474,7.400000,false
Набережные Челны,513242,171.000000,false
Нижнекамск,234108,63.500000,false
Нурлат,32600,15.000000,false
Тетюши,11596,9.000000,false
Чистополь,60703,19.240000,false
Андреаполь,8265,13.000000,false
Бежецк,24517,17.000000,false
Белый,3771,18.000000,false
Бологое,23499,120.000000,false
Весьегонск,7330,0.000000,false
Вышний Волочек,52326,54.000000,false
Западная Двина,9376,0.000000,false
Зубцов,6937,97.000000,false
Калязин,13870,0.000000,false
Кашин,16174,11.000000,false
Кимры,49623,44.000000,false
Конаково,41303,39.030000,false
Красный Холм,5608,13.935000,false
Кувшиново,10008,18.000000,false
Лихославль,12259,16.000000,false
Нелидово,22886,20.500000,false
Осташков,18073,0.000000,false
Ржев,62026,56.000000,false
Старица,8610,7.650000,false
Тверь,403726,152.220000,false
Торжок,47702,59.000000,false
Торопец,13018,11.826000,false
Удомля,31048,9.000000,false
Асино,25614,90.000000,false
Кедровый,2451,250.100000,false
Колпашево,24126,266.000000,false
Северск,108466,18.000000,false
Стрежевой,42216,212.000000,false
Томск,522940,294.600000,false
Алексин,61738,43.000000,false
Белев,13918,8.580000,false
Богородицк,31897,26.900000,false
Болохово,9619,8.738000,false
Венев,15220,9.360000,false
Донской,64561,47.600000,false
Ефремов,42350,21.800000,false
Кимовск,28493,17.280000,false
Киреевск,25585,11.500000,false
Липки,8741,3.320000,false
Новомосковск,131227,92.800000,false
Плавск,16248,8.640000,false
Советск,7537,44.400000,false
Суворов,18975,25.640000,false
Тула,501129,146.000000,false
Узловая,55282,33.000000,false
Чекалин,994,5.420000,false
Щекино,58154,15.000000,false
Ясногорск,16804,11.800000,false
Ак-Довурак,13469,49.000000,false
Кызыл,109906,97.410000,false
Туран,4988,92.000000,false
Чадан,9037,104.000000,false
Шагонар,10958,59.000000,false
Заводоуковск,25657,21.000000,false
Ишим,69567,46.000000,false
Тобольск,99698,222.000000,false
Тюмень,581758,698.480000,false
Ялуторовск,36494,51.910000,false
Воткинск,100034,113.000000,false
Глазов,95835,69.000000,false
Ижевск,628117,315.150000,false
Камбарка,11028,26.473000,false
Можга,47959,31.000000,false
Сарапул,101390,88.000000,false
Барыш,17149,14.000000,false
Димитровград,122549,103.000000,false
Инза,18547,22.000000,false
Новоульяновск,16032,15.600000,false
Сенгилей,6959,6.000000,false
Ульяновск,613793,316.900000,false
Амурск,42977,145.000000,false
Бикин,17156,85.700000,false
Вяземский,14556,44.000000,false
Комсомольск-на-Амуре,263906,325.100000,false
Николаевск-на-Амуре,22773,17.000000,false
Советская Гавань,27712,69.000000,false
Хабаровск,577668,383.000000,false
Абаза,17111,81.500000,false
Абакан,165183,112.380000,false
Саяногорск,49889,19.000000,false
Сорск,12140,70.000000,false
Черногорск,72117,117.000000,false
Белоярский,20283,70.000000,false
Когалым,58192,153.500000,false
Лангепас,41675,59.500000,false
Лянтор,38922,63.070000,false
Мегион,49471,50.500000,false
Нефтеюганск,123276,154.000000,false
Нижневартовск,251860,271.319000,false
Нягань,54903,814.000000,false
Покачи,17053,21.840000,false
Пыть-Ях,41453,80.400000,false
Радужный,43394,169.000000,false
Советский,26434,388.900000,false
Сургут,306703,353.970000,false
Урай,39435,54.300000,false
Ханты-Мансийск,79410,337.760400,false
Югорск,34066,152.180000,false
Аша,31916,32.400000,false
Бакал,20953,50.000000,false
Верхнеуральск,9459,50.000000,false
Верхний Уфалей,30504,65.000000,false
Еманжелинск,30218,129.900000,false
Златоуст,174985,118.000000,false
Карабаш,13151,48.000000,false
Карталы,29136,86.130000,false
Касли,16998,39.760000,false
Катав-Ивановск,17640,24.700000,false
Копейск,137604,236.710000,false
Коркино,38950,109.000000,false
Куса,18792,15.000000,false
Кыштым,38950,45.670000,false
Магнитогорск,408401,392.350000,false
Миасс,151812,112.000000,false
Миньяр,10195,132.000000,false
Нязепетровск,12452,27.000000,false
Озерск,82268,657.000000,false
Пласт,17344,87.600000,false
Сатка,45465,46.200000,false
Сим,14465,33.000000,false
Снежинск,48896,357.000000,false
Трехгорный,33678,162.490000,false
Троицк,78637,16.300000,false
Усть-Катав,23586,27.450000,false
Чебаркуль,43405,71.130000,false
Челябинск,1130273,500.900000,false
Южноуральск,37890,109.000000,false
Юрюзань,12568,18.780000,false
Аргун,29528,28.100000,false
Грозный,271596,324.160000,false
Гудермес,45643,92.000000,false
Урус-Мартан,49071,30.000000,false
Шали,47715,27.020000,false
Алатырь,38202,41.700000,false
Канаш,45608,18.500000,false
Козловка,10355,50.800000,false
Мариинский Посад,10186,9.000000,false
Новочебоксарск,124094,51.000000,false
Цивильск,13478,7.000000,false
Чебоксары,447929,233.000000,false
Шумерля,33412,13.300000,false
Ядрин,9614,55.000000,false
Анадырь,13053,53.000000,false
Билибино,5504,18.000000,false
Певек,4161,60.320000,false
Алдан,21277,33.000000,false
Верхоянск,1311,25.000000,false
Вилюйск,10233,18.000000,false
Ленск,24955,49.000000,false
Мирный,37179,15.000000,false
Нерюнгри,61746,98.900000,false
Нюрба,10156,19.000000,false
Олекминск,9487,12.000000,false
Покровск,9495,320.000000,false
Среднеколымск,3525,20.000000,false
Томмот,8054,26.000000,false
Удачный,12611,2.000000,false
Якутск,269486,122.000000,false
Губкинский,23340,73.000000,false
Лабытнанги,26948,22.000000,false
Муравленко,33401,91.000000,false
Надым,46550,307.000000,false
Новый Уренгой,104144,111.000000,false
Ноябрьск,110572,38.840000,false
Салехард,42494,19.000000,false
Тарко-Сале,20372,72.200000,false
Гаврилов-Ям,17792,11.000000,false
Данилов,15861,12.000000,false
Любим,5553,7.000000,false
Мышкин,5932,5.000000,false
Переславль-Залесский,41923,23.000000,false
Пошехонье,6085,7.840000,false
Ростов,31791,31.000000,false
Рыбинск,200771,101.420000,false
Тутаев,41001,25.500000,false
Углич,34505,27.000000,false
Ярославль,591486,205.800000,false
