Город,Население,Площадь,Есть аэропорт
Комсомольск,8693,325.000000,false
Кохма,29408,12.600000,false
Наволоки,10207,95.000000,false
Плес,2341,3.000000,false
Приволжск,16749,16.000000,false
Пучеж,8583,6.000000,false
Родники,26318,17.000000,false
Тейково,34993,26.800000,false
Фурманов,36149,15.600000,false
Шуя,58528,33.000000,false
Южа,14170,13.000000,false
Юрьевец,10205,8.000000,false
Карабулак,31081,83.600000,false
Магас,2505,12.630000,false
Малгобек,31076,17.000000,false
Назрань,93357,80.000000,false
Алзамай,6751,48.000000,false
Ангарск,233765,294.000000,false
Байкальск,13589,819.250000,false
Бирюсинск,8981,23.000000,false
Бодайбо,15331,11.000000,false
Братск,246348,428.000000,false
Вихоревка,22528,85.000000,false
Железногорск-Илимский,26134,102.000000,false
Зима,32522,52.900000,false
Иркутск,587225,277.000000,false
Киренск,12652,21.000000,false
Нижнеудинск,37056,75.000000,false
Саянск,40786,83.000000,false
Свирск,13649,38.620000,false
Слюдянка,18542,38.000000,false
Тайшет,35481,75.720000,false
Тулун,44603,134.000000,false
Усолье-Сибирское,83364,74.000000,false
Усть-Илимск,86591,229.000000,false
Усть-Кут,45061,56.000000,false
Черемхово,52650,25.000000,false
Шелехов,47960,31.000000,false
Баксан,36857,27.800000,false
Майский,26755,138.000000,false
Нальчик,240095,67.000000,false
Нарткала,31679,9.450000,false
Прохладный,59595,35.080000,false
Терек,19170,12.000000,false
Тырныауз,21000,61.800000,false
Чегем,17988,73.000000,false
Багратионовск,6399,10.700000,false
Балтийск,32670,49.000000,false
Гвардейск,13888,12.000000,false
Гурьевск,12433,90.000000,false
Гусев,28260,16.300000,false
Зеленоградск,13015,17.000000,false
Калининград,431491,224.700000,false
Краснознаменск,3522,6.090000,false
Ладушкин,3788,28.200000,false
Мамоново,7757,20.850000,false
Неман,11794,14.000000,false
Нестеров,4584,8.000000,false
Озерск,4740,12.000000,false
Пионерский,11017,8.300000,false
Полесск,7580,11.000000,false
Правдинск,4323,10.000000,false
Приморск,1956,696.625000,false
Светлогорск,10775,21.000000,false
Светлый,21380,26.000000,false
Славск,4614,11.000000,false
Советск,41709,44.400000,false
Черняховск,40464,58.000000,false
Городовиковск,9565,175.000000,false
Лагань,14323,91.380000,false
Элиста,103728,208.000000,false
Балабаново,26337,9.940000,false
Белоусово,8432,2.300000,false
Боровск,12283,10.440000,false
Ермолино,10409,7.240000,false
Жиздра,5585,17.900000,false
Жуков,12150,20.000000,false
Калуга,325185,168.800000,false
Киров,31888,169.730000,false
Козельск,18203,10.000000,false
Кондрово,16672,19.000000,false
Кременки,11617,2.200000,false
Людиново,40550,43.420000,false
Малоярославец,30401,18.000000,false
Медынь,8298,16.000000,false
Мещовск,4101,39.000000,false
Мосальск,4285,7.930000,false
Обнинск,104798,42.970000,false
Сосенский,12394,4.120000,false
Спас-Деменск,4904,211.000000,false
Сухиничи,16295,12.000000,false
Таруса,9656,12.000000,false
Юхнов,7056,5.000000,false
Вилючинск,22905,404.000000,false
Елизово,39548,70.000000,false
Петропавловск-Камчатский,179526,362.140000,false
Карачаевск,23848,11.840000,false
Теберда,9097,8.570000,false
Усть-Джегута,30602,32.000000,false
Черкесск,121439,69.800000,false
Беломорск,11217,13.000000,false
Кемь,13061,21.000000,false
Кондопога,32978,11.000000,false
Костомукша,28433,15.000000,false
Лахденпохья,7818,9.000000,false
Медвежьегорск,15536,14.000000,false
Олонец,9060,6.000000,false
Петрозаводск,263540,135.000000,false
Питкяранта,11484,2254.000000,false
Пудож,9698,8.000000,false
Сегежа,29660,19.000000,false
Сортавала,19215,15.000000,false
Суоярви,9763,9.000000,false
Анжеро-Судженск,76669,119.000000,false
Белово,76752,171.000000,false
Березовский,47292,1125.000000,false
Гурьевск,24816,90.000000,false
